Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2023 JIF,JIF Quartile,2023 JCI,% of Citable OA
"Applied Physics Reviews","APPL PHYS REV","AIP Publishing","1931-9401","1931-9401","PHYSICS, APPLIED","SCIE","10,762","11.9","Q1","1.55","27.4"%,
"HemaSphere","HEMASPHERE","WILEY","N/A","2572-9241","HEMATOLOGY","SCIE","2,297","11.9","Q1","1.04","93.58"%,
"BRITISH JOURNAL OF SPORTS MEDICINE","BRIT J SPORT MED","BMJ PUBLISHING GROUP","0306-3674","1473-0480","SPORT SCIENCES","SCIE","31,460","11.8","Q1","4.38","29.2"%,
"GigaScience","GIGASCIENCE","OXFORD UNIV PRESS","2047-217X","2047-217X","MULTIDISCIPLINARY SCIENCES","SCIE","9,730","11.8","Q1","2.18","95.92"%,
"TRAC-TRENDS IN ANALYTICAL CHEMISTRY","TRAC-TREND ANAL CHEM","ELSEVIER SCI LTD","0165-9936","1879-3142","CHEMISTRY, ANALYTICAL","SCIE","32,323","11.8","Q1","1.32","14.87"%,
"Energy Materials","ENERGY MATER-US","OAE PUBLISHING INC","N/A","2770-5900","ENERGY & FUELS","ESCI","852","11.8","Q1","1.24","99.12"%,
"Energy Materials","ENERGY MATER-US","OAE PUBLISHING INC","N/A","2770-5900","MATERIALS SCIENCE, MULTIDISCIPLINARY","ESCI","852","11.8","Q1","1.24","99.12"%,
"International Journal of Mining Science and Technology","INT J MIN SCI TECHNO","ELSEVIER","2095-2686","2212-6066","MINING & MINERAL PROCESSING","SCIE","7,725","11.7","Q1","3.93","97.61"%,
"Qualitative Psychology","QUAL PSYCHOL","AMER PSYCHOLOGICAL ASSOC","2326-3601","2326-3598","PSYCHOLOGY, MULTIDISCIPLINARY","ESCI","1,639","11.7","Q1","3.85","3.33"%,
"JACC-Cardiovascular Interventions","JACC-CARDIOVASC INTE","ELSEVIER SCIENCE INC","1936-8798","1876-7605","CARDIAC & CARDIOVASCULAR SYSTEMS","SCIE","17,071","11.7","Q1","2.78","15.93"%,
"IEEE TRANSACTIONS ON EVOLUTIONARY COMPUTATION","IEEE T EVOLUT COMPUT","IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC","1089-778X","1941-0026","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","22,296","11.7","Q1","2.76","10.57"%,
"IEEE TRANSACTIONS ON EVOLUTIONARY COMPUTATION","IEEE T EVOLUT COMPUT","IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC","1089-778X","1941-0026","COMPUTER SCIENCE, THEORY & METHODS","SCIE","22,296","11.7","Q1","2.76","10.57"%,
"Science Advances","SCI ADV","AMER ASSOC ADVANCEMENT SCIENCE","2375-2548","2375-2548","MULTIDISCIPLINARY SCIENCES","SCIE","147,160","11.7","Q1","2.76","65.17"%,
"Blood Cancer Discovery","BLOOD CANCER DISCOV","AMER ASSOC CANCER RESEARCH","2643-3230","2643-3249","HEMATOLOGY","ESCI","1,056","11.7","Q1","2.61","33.7"%,
"Blood Cancer Discovery","BLOOD CANCER DISCOV","AMER ASSOC CANCER RESEARCH","2643-3230","2643-3249","ONCOLOGY","ESCI","1,056","11.7","Q1","2.61","33.7"%,
"IEEE Transactions on Industrial Informatics","IEEE T IND INFORM","IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC","1551-3203","1941-0050","AUTOMATION & CONTROL SYSTEMS","SCIE","52,579","11.7","Q1","2.57","3.88"%,
"IEEE Transactions on Industrial Informatics","IEEE T IND INFORM","IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC","1551-3203","1941-0050","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","SCIE","52,579","11.7","Q1","2.57","3.88"%,
"IEEE Transactions on Industrial Informatics","IEEE T IND INFORM","IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC","1551-3203","1941-0050","ENGINEERING, INDUSTRIAL","SCIE","52,579","11.7","Q1","2.57","3.88"%,
"Cell Reports Medicine","CELL REP MED","CELL PRESS","2666-3791","2666-3791","CELL BIOLOGY","SCIE","5,610","11.7","Q1","2.56","92.8"%,
"Cell Reports Medicine","CELL REP MED","CELL PRESS","2666-3791","2666-3791","MEDICINE, RESEARCH & EXPERIMENTAL","SCIE","5,610","11.7","Q1","2.56","92.8"%,
"NEW ASTRONOMY REVIEWS","NEW ASTRON REV","ELSEVIER SCI LTD","1387-6473","1872-9630","ASTRONOMY & ASTROPHYSICS","SCIE","1,410","11.7","Q1","2.15","37.04"%,
"ACS Catalysis","ACS CATAL","AMER CHEMICAL SOC","2155-5435","2155-5435","CHEMISTRY, PHYSICAL","SCIE","130,517","11.7","Q1","1.72","15.91"%,
"TRENDS IN BIOCHEMICAL SCIENCES","TRENDS BIOCHEM SCI","CELL PRESS","0968-0004","1362-4326","BIOCHEMISTRY & MOLECULAR BIOLOGY","SCIE","19,720","11.7","Q1","1.35","25.23"%,
"Annual Review of Physical Chemistry","ANNU REV PHYS CHEM","ANNUAL REVIEWS","0066-426X","1545-1593","CHEMISTRY, PHYSICAL","SCIE","8,373","11.7","Q1","0.85","37.5"%,
"Physical Review X","PHYS REV X","AMER PHYSICAL SOC","2160-3308","2160-3308","PHYSICS, MULTIDISCIPLINARY","SCIE","27,529","11.6","Q1","3.26","98.92"%,
"INTERNATIONAL JOURNAL OF COMPUTER VISION","INT J COMPUT VISION","SPRINGER","0920-5691","1573-1405","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","25,505","11.6","Q1","2.82","22.91"%,
"Clinical Gastroenterology and Hepatology","CLIN GASTROENTEROL H","ELSEVIER SCIENCE INC","1542-3565","1542-7714","GASTROENTEROLOGY & HEPATOLOGY","SCIE","28,544","11.6","Q1","2.78","21.48"%,
"Liver Cancer","LIVER CANCER","KARGER","2235-1795","1664-5553","GASTROENTEROLOGY & HEPATOLOGY","SCIE","3,158","11.6","Q1","2.27","100"%,
"Liver Cancer","LIVER CANCER","KARGER","2235-1795","1664-5553","ONCOLOGY","SCIE","3,158","11.6","Q1","2.27","100"%,
"JAMA Dermatology","JAMA DERMATOL","AMER MEDICAL ASSOC","2168-6068","2168-6084","DERMATOLOGY","SCIE","9,990","11.5","Q1","3.79","11.55"%,
"JOURNAL OF ECONOMIC LITERATURE","J ECON LIT","AMER ECONOMIC ASSOC","0022-0515","2328-8175","ECONOMICS","SSCI","12,176","11.5","Q1","3.71","0"%,
"ENDOSCOPY","ENDOSCOPY","GEORG THIEME VERLAG KG","0013-726X","1438-8812","GASTROENTEROLOGY & HEPATOLOGY","SCIE","13,895","11.5","Q1","3.12","14.93"%,
"ENDOSCOPY","ENDOSCOPY","GEORG THIEME VERLAG KG","0013-726X","1438-8812","SURGERY","SCIE","13,895","11.5","Q1","3.12","14.93"%,
"Industrial and Organizational Psychology-Perspectives on Science and Practice","IND ORGAN PSYCHOL-US","CAMBRIDGE UNIV PRESS","1754-9426","1754-9434","PSYCHOLOGY, APPLIED","SSCI","1,864","11.5","Q1","3.06","30.77"%,
"JOURNAL OF MARKETING","J MARKETING","SAGE PUBLICATIONS INC","0022-2429","1547-7185","BUSINESS","SSCI","27,613","11.5","Q1","2.34","21.15"%,
"WATER RESEARCH","WATER RES","PERGAMON-ELSEVIER SCIENCE LTD","0043-1354","1879-2448","ENGINEERING, ENVIRONMENTAL","SCIE","139,816","11.5","Q1","2.13","15.87"%,
"WATER RESEARCH","WATER RES","PERGAMON-ELSEVIER SCIENCE LTD","0043-1354","1879-2448","ENVIRONMENTAL SCIENCES","SCIE","139,816","11.5","Q1","2.13","15.87"%,
"WATER RESEARCH","WATER RES","PERGAMON-ELSEVIER SCIENCE LTD","0043-1354","1879-2448","WATER RESOURCES","SCIE","139,816","11.5","Q1","2.13","15.87"%,
"GENOMICS PROTEOMICS & BIOINFORMATICS","GENOM PROTEOM BIOINF","ELSEVIER","1672-0229","2210-3244","GENETICS & HEREDITY","SCIE","5,439","11.5","Q1","1.7","94.37"%,
"Chem Catalysis","CHEM CATALYSIS","CELL PRESS","2667-1093","2667-1093","CHEMISTRY, PHYSICAL","ESCI","3,478","11.5","Q1","1.34","52.48"%,
"PROGRESS IN AEROSPACE SCIENCES","PROG AEROSP SCI","PERGAMON-ELSEVIER SCIENCE LTD","0376-0421","1873-1724","ENGINEERING, AEROSPACE","SCIE","6,746","11.5","Q1","1.3","25.26"%,
"Progress in Energy","PROG ENERGY","IOP Publishing Ltd","N/A","2516-1083","ENERGY & FUELS","ESCI","750","11.5","Q1","0.66","60"%,
"Arthritis & Rheumatology","ARTHRITIS RHEUMATOL","WILEY","2326-5191","2326-5205","RHEUMATOLOGY","SCIE","19,427","11.4","Q1","3.34","30.98"%,
"Journal of Advanced Research","J ADV RES","ELSEVIER","2090-1232","2090-1224","MULTIDISCIPLINARY SCIENCES","SCIE","10,841","11.4","Q1","2.63","96.79"%,
"JOURNAL OF ALLERGY AND CLINICAL IMMUNOLOGY","J ALLERGY CLIN IMMUN","MOSBY-ELSEVIER","0091-6749","1097-6825","ALLERGY","SCIE","58,012","11.4","Q1","2.63","27.44"%,
"JOURNAL OF ALLERGY AND CLINICAL IMMUNOLOGY","J ALLERGY CLIN IMMUN","MOSBY-ELSEVIER","0091-6749","1097-6825","IMMUNOLOGY","SCIE","58,012","11.4","Q1","2.63","27.44"%,
"JOURNAL OF EXPERIMENTAL & CLINICAL CANCER RESEARCH","J EXP CLIN CANC RES","BMC","N/A","1756-9966","ONCOLOGY","SCIE","24,726","11.4","Q1","2.35","99.78"%,
"TRENDS IN ENDOCRINOLOGY AND METABOLISM","TRENDS ENDOCRIN MET","CELL PRESS","1043-2760","1879-3061","ENDOCRINOLOGY & METABOLISM","SCIE","12,135","11.4","Q1","1.57","19.79"%,
"Annual Review of Cell and Developmental Biology","ANNU REV CELL DEV BI","ANNUAL REVIEWS","1081-0706","1530-8995","CELL BIOLOGY","SCIE","9,960","11.4","Q1","1.28","32.76"%,
"Annual Review of Cell and Developmental Biology","ANNU REV CELL DEV BI","ANNUAL REVIEWS","1081-0706","1530-8995","DEVELOPMENTAL BIOLOGY","SCIE","9,960","11.4","Q1","1.28","32.76"%,
"CRITICAL REVIEWS IN ENVIRONMENTAL SCIENCE AND TECHNOLOGY","CRIT REV ENV SCI TEC","TAYLOR & FRANCIS INC","1064-3389","1547-6537","ENVIRONMENTAL SCIENCES","SCIE","12,014","11.4","Q1","0.88","14.49"%,
"ENDOCRINE PATHOLOGY","ENDOCR PATHOL","HUMANA PRESS INC","1046-3976","1559-0097","ENDOCRINOLOGY & METABOLISM","SCIE","2,232","11.3","Q1","3.04","31.3"%,
"ENDOCRINE PATHOLOGY","ENDOCR PATHOL","HUMANA PRESS INC","1046-3976","1559-0097","PATHOLOGY","SCIE","2,232","11.3","Q1","3.04","31.3"%,
"Annual Review of Earth and Planetary Sciences","ANNU REV EARTH PL SC","ANNUAL REVIEWS","0084-6597","1545-4495","ASTRONOMY & ASTROPHYSICS","SCIE","10,278","11.3","Q1","1.47","41.1"%,
"Annual Review of Earth and Planetary Sciences","ANNU REV EARTH PL SC","ANNUAL REVIEWS","0084-6597","1545-4495","GEOSCIENCES, MULTIDISCIPLINARY","SCIE","10,278","11.3","Q1","1.47","41.1"%,
"Earth System Science Data","EARTH SYST SCI DATA","COPERNICUS GESELLSCHAFT MBH","1866-3508","1866-3516","GEOSCIENCES, MULTIDISCIPLINARY","SCIE","14,571","11.2","Q1","2.63","99.63"%,
"Earth System Science Data","EARTH SYST SCI DATA","COPERNICUS GESELLSCHAFT MBH","1866-3508","1866-3516","METEOROLOGY & ATMOSPHERIC SCIENCES","SCIE","14,571","11.2","Q1","2.63","99.63"%,
"Journal of Materials Science & Technology","J MATER SCI TECHNOL","JOURNAL MATER SCI TECHNOL","1005-0302","1941-1162","MATERIALS SCIENCE, MULTIDISCIPLINARY","SCIE","43,703","11.2","Q1","2.53","1.57"%,
"Journal of Materials Science & Technology","J MATER SCI TECHNOL","JOURNAL MATER SCI TECHNOL","1005-0302","1941-1162","METALLURGY & METALLURGICAL ENGINEERING","SCIE","43,703","11.2","Q1","2.53","1.57"%,
"PLANT BIOTECHNOLOGY JOURNAL","PLANT BIOTECHNOL J","WILEY","1467-7644","1467-7652","BIOTECHNOLOGY & APPLIED MICROBIOLOGY","SCIE","18,304","11.2","Q1","2.38","79.1"%,
"PLANT BIOTECHNOLOGY JOURNAL","PLANT BIOTECHNOL J","WILEY","1467-7644","1467-7652","PLANT SCIENCES","SCIE","18,304","11.2","Q1","2.38","79.1"%,
"Annual Review of Control Robotics and Autonomous Systems","ANNU REV CONTR ROBOT","ANNUAL REVIEWS","N/A","2573-5144","AUTOMATION & CONTROL SYSTEMS","SCIE","1,722","11.2","Q1","2.31","30.99"%,
"Annual Review of Control Robotics and Autonomous Systems","ANNU REV CONTR ROBOT","ANNUAL REVIEWS","N/A","2573-5144","ROBOTICS","SCIE","1,722","11.2","Q1","2.31","30.99"%,
"Annual Review of Pharmacology and Toxicology","ANNU REV PHARMACOL","ANNUAL REVIEWS","0362-1642","1545-4304","PHARMACOLOGY & PHARMACY","SCIE","8,216","11.2","Q1","2.12","32.67"%,
"Annual Review of Pharmacology and Toxicology","ANNU REV PHARMACOL","ANNUAL REVIEWS","0362-1642","1545-4304","TOXICOLOGY","SCIE","8,216","11.2","Q1","2.12","32.67"%,
"Journal of Business Logistics","J BUS LOGIST","WILEY","0735-3766","2158-1592","MANAGEMENT","SSCI","3,511","11.2","Q1","1.95","35"%,
"SLEEP MEDICINE REVIEWS","SLEEP MED REV","W B SAUNDERS CO LTD","1087-0792","1532-2955","CLINICAL NEUROLOGY","SCIE","13,520","11.2","Q1","1.79","24.14"%,
"SLEEP MEDICINE REVIEWS","SLEEP MED REV","W B SAUNDERS CO LTD","1087-0792","1532-2955","NEUROSCIENCES","SCIE","13,520","11.2","Q1","1.79","24.14"%,
"RESOURCES CONSERVATION AND RECYCLING","RESOUR CONSERV RECY","ELSEVIER","0921-3449","1879-0658","ENGINEERING, ENVIRONMENTAL","SCIE","47,322","11.2","Q1","1.64","22.73"%,
"RESOURCES CONSERVATION AND RECYCLING","RESOUR CONSERV RECY","ELSEVIER","0921-3449","1879-0658","ENVIRONMENTAL SCIENCES","SCIE","47,322","11.2","Q1","1.64","22.73"%,
"Small Science","SMALL SCI","WILEY","2688-4046","2688-4046","MATERIALS SCIENCE, MULTIDISCIPLINARY","ESCI","2,050","11.2","Q1","1.31","87.91"%,
"Small Science","SMALL SCI","WILEY","2688-4046","2688-4046","NANOSCIENCE & NANOTECHNOLOGY","ESCI","2,050","11.2","Q1","1.31","87.91"%,
"Annual Review of Ecology Evolution and Systematics","ANNU REV ECOL EVOL S","ANNUAL REVIEWS","1543-592X","1545-2069","ECOLOGY","SCIE","20,574","11.2","Q1","1.29","29.58"%,
"Annual Review of Ecology Evolution and Systematics","ANNU REV ECOL EVOL S","ANNUAL REVIEWS","1543-592X","1545-2069","EVOLUTIONARY BIOLOGY","SCIE","20,574","11.2","Q1","1.29","29.58"%,
"QUARTERLY JOURNAL OF ECONOMICS","Q J ECON","OXFORD UNIV PRESS INC","0033-5533","1531-4650","ECONOMICS","SSCI","40,045","11.1","Q1","5.11","14.46"%,
"COMMUNICATIONS OF THE ACM","COMMUN ACM","ASSOC COMPUTING MACHINERY","0001-0782","1557-7317","COMPUTER SCIENCE, HARDWARE & ARCHITECTURE","SCIE","30,255","11.1","Q1","4.27","4.44"%,
"COMMUNICATIONS OF THE ACM","COMMUN ACM","ASSOC COMPUTING MACHINERY","0001-0782","1557-7317","COMPUTER SCIENCE, SOFTWARE ENGINEERING","SCIE","30,255","11.1","Q1","4.27","4.44"%,
"COMMUNICATIONS OF THE ACM","COMMUN ACM","ASSOC COMPUTING MACHINERY","0001-0782","1557-7317","COMPUTER SCIENCE, THEORY & METHODS","SCIE","30,255","11.1","Q1","4.27","4.44"%,
"TECHNOVATION","TECHNOVATION","ELSEVIER","0166-4972","1879-2383","ENGINEERING, INDUSTRIAL","SCIE","11,241","11.1","Q1","2.47","33.27"%,
"TECHNOVATION","TECHNOVATION","ELSEVIER","0166-4972","1879-2383","MANAGEMENT","SSCI","11,241","11.1","Q1","2.47","33.27"%,
"TECHNOVATION","TECHNOVATION","ELSEVIER","0166-4972","1879-2383","OPERATIONS RESEARCH & MANAGEMENT SCIENCE","SCIE","11,241","11.1","Q1","2.47","33.27"%,
"Cell Genomics","CELL GENOM","ELSEVIER","2666-979X","2666-979X","CELL BIOLOGY","ESCI","1,231","11.1","Q1","2.37","92.42"%,
"Cell Genomics","CELL GENOM","ELSEVIER","2666-979X","2666-979X","GENETICS & HEREDITY","ESCI","1,231","11.1","Q1","2.37","92.42"%,
"REMOTE SENSING OF ENVIRONMENT","REMOTE SENS ENVIRON","ELSEVIER SCIENCE INC","0034-4257","1879-0704","ENVIRONMENTAL SCIENCES","SCIE","86,123","11.1","Q1","2.35","35.51"%,
"REMOTE SENSING OF ENVIRONMENT","REMOTE SENS ENVIRON","ELSEVIER SCIENCE INC","0034-4257","1879-0704","IMAGING SCIENCE & PHOTOGRAPHIC TECHNOLOGY","SCIE","86,123","11.1","Q1","2.35","35.51"%,
"REMOTE SENSING OF ENVIRONMENT","REMOTE SENS ENVIRON","ELSEVIER SCIENCE INC","0034-4257","1879-0704","REMOTE SENSING","SCIE","86,123","11.1","Q1","2.35","35.51"%,
"Trends in Environmental Analytical Chemistry","TRENDS ENVIRON ANAL","ELSEVIER","2214-1588","2214-1588","CHEMISTRY, ANALYTICAL","SCIE","1,891","11.1","Q1","1.87","11.71"%,
"Trends in Environmental Analytical Chemistry","TRENDS ENVIRON ANAL","ELSEVIER","2214-1588","2214-1588","ENVIRONMENTAL SCIENCES","SCIE","1,891","11.1","Q1","1.87","11.71"%,
"Polymer Reviews","POLYM REV","TAYLOR & FRANCIS INC","1558-3724","1558-3716","POLYMER SCIENCE","SCIE","3,413","11.1","Q1","0.84","14.49"%,
"Statistics Surveys","STAT SURV","AMER STATISTICAL ASSOC","1935-7516","1935-7516","STATISTICS & PROBABILITY","ESCI","768","11","Q1","6.64","93.75"%,
"BRITISH JOURNAL OF DERMATOLOGY","BRIT J DERMATOL","OXFORD UNIV PRESS","0007-0963","1365-2133","DERMATOLOGY","SCIE","30,843","11","Q1","3.59","41.67"%,
"BIOLOGICAL REVIEWS","BIOL REV","WILEY","1464-7931","1469-185X","BIOLOGY","SCIE","19,552","11","Q1","2.94","47.67"%,
"MOLECULAR BIOLOGY AND EVOLUTION","MOL BIOL EVOL","OXFORD UNIV PRESS","0737-4038","1537-1719","BIOCHEMISTRY & MOLECULAR BIOLOGY","SCIE","62,437","11","Q1","2.47","95.42"%,
"MOLECULAR BIOLOGY AND EVOLUTION","MOL BIOL EVOL","OXFORD UNIV PRESS","0737-4038","1537-1719","EVOLUTIONARY BIOLOGY","SCIE","62,437","11","Q1","2.47","95.42"%,
"MOLECULAR BIOLOGY AND EVOLUTION","MOL BIOL EVOL","OXFORD UNIV PRESS","0737-4038","1537-1719","GENETICS & HEREDITY","SCIE","62,437","11","Q1","2.47","95.42"%,
"Journal of Retailing and Consumer Services","J RETAIL CONSUM SERV","ELSEVIER SCI LTD","0969-6989","1873-1384","BUSINESS","SSCI","24,102","11","Q1","2.36","13.22"%,
"FOOD HYDROCOLLOIDS","FOOD HYDROCOLLOID","ELSEVIER SCI LTD","0268-005X","1873-7137","CHEMISTRY, APPLIED","SCIE","72,340","11","Q1","2.16","10.05"%,
"FOOD HYDROCOLLOIDS","FOOD HYDROCOLLOID","ELSEVIER SCI LTD","0268-005X","1873-7137","FOOD SCIENCE & TECHNOLOGY","SCIE","72,340","11","Q1","2.16","10.05"%,
"Tourism Management","TOURISM MANAGE","ELSEVIER SCI LTD","0261-5177","1879-3193","ENVIRONMENTAL STUDIES","SSCI","32,404","10.9","Q1","2.8","14.77"%,
"Tourism Management","TOURISM MANAGE","ELSEVIER SCI LTD","0261-5177","1879-3193","HOSPITALITY, LEISURE, SPORT & TOURISM","SSCI","32,404","10.9","Q1","2.8","14.77"%,
"Tourism Management","TOURISM MANAGE","ELSEVIER SCI LTD","0261-5177","1879-3193","MANAGEMENT","SSCI","32,404","10.9","Q1","2.8","14.77"%,
"IEEE WIRELESS COMMUNICATIONS","IEEE WIREL COMMUN","IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC","1536-1284","1558-0687","COMPUTER SCIENCE, HARDWARE & ARCHITECTURE","SCIE","10,423","10.9","Q1","2.65","0"%,
"IEEE WIRELESS COMMUNICATIONS","IEEE WIREL COMMUN","IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC","1536-1284","1558-0687","COMPUTER SCIENCE, INFORMATION SYSTEMS","SCIE","10,423","10.9","Q1","2.65","0"%,
"IEEE WIRELESS COMMUNICATIONS","IEEE WIREL COMMUN","IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC","1536-1284","1558-0687","ENGINEERING, ELECTRICAL & ELECTRONIC","SCIE","10,423","10.9","Q1","2.65","0"%,
"IEEE WIRELESS COMMUNICATIONS","IEEE WIREL COMMUN","IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC","1536-1284","1558-0687","TELECOMMUNICATIONS","SCIE","10,423","10.9","Q1","2.65","0"%,
"CLINICAL MICROBIOLOGY AND INFECTION","CLIN MICROBIOL INFEC","ELSEVIER SCI LTD","1198-743X","1469-0691","INFECTIOUS DISEASES","SCIE","27,312","10.9","Q1","2.56","36.38"%,
"CLINICAL MICROBIOLOGY AND INFECTION","CLIN MICROBIOL INFEC","ELSEVIER SCI LTD","1198-743X","1469-0691","MICROBIOLOGY","SCIE","27,312","10.9","Q1","2.56","36.38"%,
"Sustainable Production and Consumption","SUSTAIN PROD CONSUMP","ELSEVIER","2352-5509","2352-5509","ENVIRONMENTAL STUDIES","SSCI","12,227","10.9","Q1","2.2","24.98"%,
"Sustainable Production and Consumption","SUSTAIN PROD CONSUMP","ELSEVIER","2352-5509","2352-5509","GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY","SCIE, SSCI","12,227","10.9","Q1","2.2","24.98"%,
"METABOLISM-CLINICAL AND EXPERIMENTAL","METABOLISM","W B SAUNDERS CO-ELSEVIER INC","0026-0495","1532-8600","ENDOCRINOLOGY & METABOLISM","SCIE","19,452","10.9","Q1","2.19","20.68"%,
"CEMENT AND CONCRETE RESEARCH","CEMENT CONCRETE RES","PERGAMON-ELSEVIER SCIENCE LTD","0008-8846","1873-3948","CONSTRUCTION & BUILDING TECHNOLOGY","SCIE","67,089","10.9","Q1","2.03","25.03"%,
"CEMENT AND CONCRETE RESEARCH","CEMENT CONCRETE RES","PERGAMON-ELSEVIER SCIENCE LTD","0008-8846","1873-3948","MATERIALS SCIENCE, MULTIDISCIPLINARY","SCIE","67,089","10.9","Q1","2.03","25.03"%,
"MEDICINAL RESEARCH REVIEWS","MED RES REV","WILEY","0198-6325","1098-1128","CHEMISTRY, MEDICINAL","SCIE","8,635","10.9","Q1","1.65","17.93"%,
"MEDICINAL RESEARCH REVIEWS","MED RES REV","WILEY","0198-6325","1098-1128","PHARMACOLOGY & PHARMACY","SCIE","8,635","10.9","Q1","1.65","17.93"%,
"ENVIRONMENTAL SCIENCE & TECHNOLOGY","ENVIRON SCI TECHNOL","AMER CHEMICAL SOC","0013-936X","1520-5851","ENGINEERING, ENVIRONMENTAL","SCIE","240,575","10.9","Q1","1.56","19.55"%,
"ENVIRONMENTAL SCIENCE & TECHNOLOGY","ENVIRON SCI TECHNOL","AMER CHEMICAL SOC","0013-936X","1520-5851","ENVIRONMENTAL SCIENCES","SCIE","240,575","10.9","Q1","1.56","19.55"%,
"International Journal of Oral Science","INT J ORAL SCI","SPRINGERNATURE","1674-2818","2049-3169","DENTISTRY, ORAL SURGERY & MEDICINE","SCIE","3,639","10.8","Q1","5.59","100"%,
"SIAM REVIEW","SIAM REV","SIAM PUBLICATIONS","0036-1445","1095-7200","MATHEMATICS, APPLIED","SCIE","11,010","10.8","Q1","4.93","7.23"%,
"ISME Journal","ISME J","OXFORD UNIV PRESS","1751-7362","1751-7370","ECOLOGY","SCIE","38,921","10.8","Q1","2.7","71.01"%,
"ISME Journal","ISME J","OXFORD UNIV PRESS","1751-7362","1751-7370","MICROBIOLOGY","SCIE","38,921","10.8","Q1","2.7","71.01"%,
"GLOBAL CHANGE BIOLOGY","GLOBAL CHANGE BIOL","WILEY","1354-1013","1365-2486","BIODIVERSITY CONSERVATION","SCIE","68,872","10.8","Q1","2.5","39.19"%,
"GLOBAL CHANGE BIOLOGY","GLOBAL CHANGE BIOL","WILEY","1354-1013","1365-2486","ECOLOGY","SCIE","68,872","10.8","Q1","2.5","39.19"%,
"GLOBAL CHANGE BIOLOGY","GLOBAL CHANGE BIOL","WILEY","1354-1013","1365-2486","ENVIRONMENTAL SCIENCES","SCIE","68,872","10.8","Q1","2.5","39.19"%,
"Translational Neurodegeneration","TRANSL NEURODEGENER","BMC","2047-9158","2047-9158","NEUROSCIENCES","SCIE","3,460","10.8","Q1","2.19","100"%,
"THORAX","THORAX","BMJ PUBLISHING GROUP","0040-6376","1468-3296","RESPIRATORY SYSTEM","SCIE","23,261","10.8","Q1","2.09","41.79"%,
"IEEE TRANSACTIONS ON IMAGE PROCESSING","IEEE T IMAGE PROCESS","IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC","1057-7149","1941-0042","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","74,758","10.8","Q1","2.03","4.16"%,
"IEEE TRANSACTIONS ON IMAGE PROCESSING","IEEE T IMAGE PROCESS","IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC","1057-7149","1941-0042","ENGINEERING, ELECTRICAL & ELECTRONIC","SCIE","74,758","10.8","Q1","2.03","4.16"%,
"EARTH-SCIENCE REVIEWS","EARTH-SCI REV","ELSEVIER","0012-8252","1872-6828","GEOSCIENCES, MULTIDISCIPLINARY","SCIE","36,712","10.8","Q1","1.92","25.06"%,
"CEMENT & CONCRETE COMPOSITES","CEMENT CONCRETE COMP","ELSEVIER SCI LTD","0958-9465","1873-393X","CONSTRUCTION & BUILDING TECHNOLOGY","SCIE","41,404","10.8","Q1","1.85","12.65"%,
"CEMENT & CONCRETE COMPOSITES","CEMENT CONCRETE COMP","ELSEVIER SCI LTD","0958-9465","1873-393X","MATERIALS SCIENCE, COMPOSITES","SCIE","41,404","10.8","Q1","1.85","12.65"%,
"Journal of Materials Chemistry A","J MATER CHEM A","ROYAL SOC CHEMISTRY","2050-7488","2050-7496","CHEMISTRY, PHYSICAL","SCIE","211,315","10.8","Q1","1.59","9.76"%,
"Journal of Materials Chemistry A","J MATER CHEM A","ROYAL SOC CHEMISTRY","2050-7488","2050-7496","ENERGY & FUELS","SCIE","211,315","10.8","Q1","1.59","9.76"%,
"Journal of Materials Chemistry A","J MATER CHEM A","ROYAL SOC CHEMISTRY","2050-7488","2050-7496","MATERIALS SCIENCE, MULTIDISCIPLINARY","SCIE","211,315","10.8","Q1","1.59","9.76"%,
"ACTA PHYSICO-CHIMICA SINICA","ACTA PHYS-CHIM SIN","PEKING UNIV PRESS","1000-6818","N/A","CHEMISTRY, PHYSICAL","SCIE","5,906","10.8","Q1","1.12","0"%,
"IEEE TRANSACTIONS ON FUZZY SYSTEMS","IEEE T FUZZY SYST","IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC","1063-6706","1941-0034","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","25,484","10.7","Q1","2.91","4.57"%,
